timestamp,tx0_k0,tx0_k1,tx0_k2,tx0_k3,tx0_k4,tx1_k0,tx1_k1,tx1_k2,tx1_k3,tx1_k4,tx2_k0,tx2_k1,tx2_k2,tx2_k3,tx2_k4,tx3_k0,tx3_k1,tx3_k2,tx3_k3,tx3_k4,tx4_k0,tx4_k1,tx4_k2,tx4_k3,tx4_k4,tx5_k0,tx5_k1,tx5_k2,tx5_k3,tx5_k4,tx6_k0,tx6_k1,tx6_k2,tx6_k3,tx6_k4,tx7_k0,tx7_k1,tx7_k2,tx7_k3,tx7_k4
1777273608.233601,0.197700,0.090200,0.064500,0.030100,0.178300,0.597300,0.270700,0.034400,0.023600,0.111700,0.283600,0.055900,0.034400,0.017200,0.062300,0.049400,0.012900,0.025800,0.043000,0.242800,0.081600,0.025800,0.030100,0.249200,0.571500,0.197700,0.030100,0.047300,0.053700,0.251400,0.197700,0.053700,0.058000,0.079500,0.195500,0.223400,0.055900,0.051600,0.103100,0.182600
1777273608.717773,0.197700,0.090200,0.066600,0.032200,0.178300,0.590800,0.270700,0.036500,0.021500,0.109600,0.283600,0.034400,0.015000,0.047300,0.073000,0.055900,0.023600,0.019300,0.040800,0.240600,0.079500,0.043000,0.038700,0.255700,0.565000,0.197700,0.032200,0.049400,0.055900,0.251400,0.197700,0.055900,0.058000,0.079500,0.195500,0.223400,0.058000,0.058000,0.103100,0.182600
1777273609.202029,0.199800,0.090200,0.066600,0.030100,0.178300,0.593000,0.272900,0.038700,0.023600,0.120300,0.287900,0.040800,0.023600,0.023600,0.062300,0.060200,0.027900,0.027900,0.040800,0.244900,0.085900,0.030100,0.034400,0.264300,0.556400,0.197700,0.030100,0.051600,0.058000,0.253500,0.199800,0.053700,0.060200,0.079500,0.195500,0.223400,0.058000,0.058000,0.103100,0.182600
1777273609.685972,0.197700,0.090200,0.066600,0.030100,0.178300,0.597300,0.272900,0.032200,0.036500,0.116000,0.287900,0.017200,0.021500,0.027900,0.060200,0.058000,0.040800,0.015000,0.043000,0.238500,0.083800,0.032200,0.032200,0.251400,0.569300,0.197700,0.032200,0.051600,0.058000,0.251400,0.197700,0.055900,0.062300,0.079500,0.195500,0.223400,0.053700,0.053700,0.103100,0.184800
1777273610.169922,0.197700,0.092400,0.064500,0.032200,0.178300,0.595100,0.270700,0.036500,0.021500,0.109600,0.283600,0.019300,0.030100,0.045100,0.064500,0.055900,0.025800,0.027900,0.030100,0.247100,0.079500,0.047300,0.045100,0.260000,0.567200,0.197700,0.032200,0.060200,0.053700,0.251400,0.197700,0.055900,0.055900,0.079500,0.193400,0.221300,0.058000,0.051600,0.103100,0.182600
1777273610.653802,0.199800,0.090200,0.064500,0.030100,0.178300,0.597300,0.272900,0.038700,0.030100,0.118200,0.287900,0.034400,0.019300,0.030100,0.060200,0.060200,0.019300,0.023600,0.043000,0.247100,0.083800,0.025800,0.034400,0.262100,0.567200,0.197700,0.032200,0.051600,0.058000,0.251400,0.197700,0.055900,0.062300,0.079500,0.193400,0.223400,0.058000,0.049400,0.103100,0.182600
1777273611.137686,0.197700,0.090200,0.064500,0.030100,0.178300,0.599400,0.270700,0.025800,0.019300,0.111700,0.283600,0.051600,0.019300,0.019300,0.058000,0.051600,0.038700,0.032200,0.030100,0.244900,0.081600,0.025800,0.036500,0.251400,0.569300,0.195500,0.032200,0.051600,0.051600,0.253500,0.197700,0.055900,0.060200,0.079500,0.195500,0.223400,0.055900,0.049400,0.103100,0.184800
1777273611.621144,0.199800,0.090200,0.064500,0.030100,0.178300,0.588700,0.272900,0.040800,0.036500,0.116000,0.287900,0.040800,0.017200,0.015000,0.070900,0.055900,0.038700,0.032200,0.036500,0.244900,0.075200,0.025800,0.034400,0.260000,0.562900,0.197700,0.030100,0.055900,0.058000,0.251400,0.197700,0.055900,0.058000,0.079500,0.195500,0.223400,0.060200,0.053700,0.103100,0.182600
1777273612.105568,0.199800,0.090200,0.066600,0.030100,0.178300,0.593000,0.275000,0.040800,0.025800,0.118200,0.290000,0.038700,0.023600,0.023600,0.062300,0.060200,0.034400,0.023600,0.047300,0.242800,0.085900,0.034400,0.036500,0.262100,0.562900,0.197700,0.032200,0.051600,0.055900,0.253500,0.197700,0.053700,0.058000,0.079500,0.193400,0.223400,0.058000,0.049400,0.103100,0.182600
1777273612.589320,0.199800,0.092400,0.064500,0.032200,0.178300,0.601600,0.270700,0.030100,0.023600,0.109600,0.287900,0.058000,0.032200,0.015000,0.060200,0.055900,0.032200,0.030100,0.017200,0.238500,0.085900,0.030100,0.032200,0.251400,0.571500,0.197700,0.032200,0.049400,0.053700,0.251400,0.197700,0.055900,0.058000,0.079500,0.193400,0.223400,0.058000,0.053700,0.103100,0.184800
